Model Name,Dataset,Criterion,Transforms,Test Dice,Test IoU,Test Specificity,Test Sensitivity,Test Accuracy
EncDec_dropout,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDecStride,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,0.9999912977218628,0.0,0.8749217987060547
EncDec_batchnorm_dropout,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDecStride,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDecStride,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDecStride,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDecStride,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDecStride,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_dropout,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_dropout,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_dropout,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_dropout,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_dropout,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
